station_id,city,avg_charge_time_mins,daily_sessions,uptime_percent,cost_per_kWh
CS001,Bangalore,44,127,95.9,12.23
CS002,Delhi,41,110,97.4,13.47
CS003,Kolkata,49,89,95.4,11.63
CS004,Delhi,40,137,90.9,9.22
CS005,Delhi,47,144,91.1,11.74
CS006,Delhi,52,143,96.4,13.14
CS007,Mumbai,39,26,93.2,15.62
CS008,Kolkata,40,103,97.3,13.87
CS009,Bangalore,30,146,91.5,13.69
CS010,Pune,40,158,94.8,14.98
CS011,Ahmedabad,56,142,95.8,14.62
CS012,Kolkata,48,126,94.3,13.86
CS013,Bangalore,31,48,97.7,13.09
CS014,Mumbai,50,100,100.0,11.29
CS015,Mumbai,39,89,95.4,11.78
CS016,Kolkata,36,180,95.8,14.2
CS017,Pune,38,94,97.1,10.19
CS018,Mumbai,45,59,92.6,11.35
CS019,Ahmedabad,46,168,92.8,12.45
CS020,Pune,43,73,98.1,13.61
CS021,Pune,59,132,90.7,9.26
CS022,Pune,46,151,99.4,13.72
CS023,Pune,40,80,96.1,11.87
CS024,Kolkata,46,91,96.8,12.07
CS025,Kolkata,40,149,95.5,10.59
CS026,Pune,50,57,94.5,12.73
CS027,Delhi,35,68,95.6,14.45
CS028,Delhi,71,149,94.2,11.55
CS029,Kolkata,51,116,96.5,12.78
CS030,Chennai,37,179,96.6,12.29
CS031,Pune,46,78,94.8,13.72
CS032,Ahmedabad,49,160,90.6,13.38
CS033,Ahmedabad,49,239,95.1,12.33
CS034,Kolkata,42,89,95.3,11.35
CS035,Hyderabad,56,159,96.8,11.45
CS036,Hyderabad,36,150,91.0,13.8
CS037,Chennai,38,144,96.6,11.53
CS038,Hyderabad,35,164,93.6,13.42
CS039,Mumbai,62,114,97.7,12.81
CS040,Chennai,35,134,88.7,11.41
CS041,Hyderabad,54,88,98.2,12.0
CS042,Chennai,34,70,94.4,13.4
CS043,Delhi,44,107,93.5,12.7
CS044,Delhi,72,145,100.0,12.95
CS045,Pune,68,125,91.5,14.74
CS046,Hyderabad,59,55,98.6,11.23
CS047,Chennai,42,120,95.9,11.96
CS048,Mumbai,32,41,93.9,12.95
CS049,Bangalore,52,126,99.0,11.61
CS050,Hyderabad,30,97,94.2,12.76
