payment_id,ride_id,mode,amount,status,tip_amount
P000001,R000001,UPI,190.92,Success,10
P000002,R000002,Cash,45.2,Success,5
P000003,R000003,UPI,108.92,Success,10
P000004,R000004,UPI,96.88,Success,0
P000005,R000005,Card,68.36,Success,0
P000006,R000006,UPI,67.84,Success,0
P000007,R000007,UPI,84.52,Success,0
P000008,R000008,UPI,43.94,Success,0
P000009,R000009,Cash,92.8,Success,5
P000010,R000010,UPI,99.52,Success,0
P000011,R000011,Cash,84.04,Success,0
P000012,R000012,UPI,83.2,Success,0
P000013,R000013,UPI,56.64,Success,0
P000014,R000014,Cash,67.36,Success,0
P000015,R000015,UPI,177.24,Success,0
P000016,R000016,UPI,31.64,Success,0
P000017,R000017,Card,37.32,Success,0
P000018,R000018,UPI,70.84,Success,0
P000019,R000019,UPI,128.44,Success,0
P000020,R000020,UPI,99.24,Success,0
P000021,R000021,Card,49.44,Success,10
P000022,R000022,UPI,64.6,Success,0
P000023,R000023,UPI,80.2,Success,0
P000024,R000024,Card,112.96,Success,0
P000025,R000025,Card,38.2,Success,0
P000026,R000026,Card,87.16,Success,0
P000027,R000027,Card,69.56,Success,0
P000028,R000028,UPI,52.9,Success,0
P000029,R000029,Card,58.88,Success,0
P000030,R000030,UPI,39.12,Success,5
P000031,R000031,UPI,43.32,Success,0
P000032,R000032,UPI,68.48,Success,0
P000033,R000033,Card,62.68,Success,5
P000034,R000034,UPI,86.16,Success,0
P000035,R000035,UPI,48.34,Success,20
P000036,R000036,UPI,57.8,Success,0
P000037,R000037,UPI,349.68,Success,5
P000038,R000038,Wallet,96.32,Success,0
P000039,R000039,UPI,57.4,Success,0
P000040,R000040,Cash,109.36,Success,0
P000041,R000041,Card,79.72,Success,0
P000042,R000042,Card,66.68,Success,0
P000043,R000043,UPI,47.18,Success,0
P000044,R000044,UPI,90.76,Success,20
P000045,R000045,UPI,47.0,Success,0
P000046,R000046,UPI,85.44,Success,10
P000047,R000047,UPI,63.88,Success,5
P000048,R000048,UPI,42.92,Success,0
P000049,R000049,Card,81.16,Success,0
P000050,R000050,Card,141.68,Success,0
P000051,R000051,Card,40.74,Success,0
P000052,R000052,UPI,162.52,Success,0
P000053,R000053,Card,45.2,Success,0
P000054,R000054,Card,78.56,Success,10
P000055,R000055,Card,94.72,Success,0
P000056,R000056,Card,60.6,Success,0
P000057,R000057,UPI,52.28,Failed,0
P000058,R000058,UPI,85.0,Success,5
P000059,R000059,UPI,62.92,Success,0
P000060,R000060,UPI,43.24,Success,0
P000061,R000061,Cash,93.76,Success,0
P000062,R000062,UPI,38.0,Success,5
P000063,R000063,UPI,50.06,Success,0
P000064,R000064,Card,110.84,Success,20
P000065,R000065,Cash,98.2,Success,0
P000066,R000066,UPI,39.88,Success,0
P000067,R000067,UPI,104.32,Success,0
P000068,R000068,UPI,103.84,Success,0
P000069,R000069,UPI,151.36,Success,0
P000070,R000070,UPI,68.0,Success,0
P000071,R000071,Cash,96.44,Success,0
P000072,R000072,UPI,105.04,Success,0
P000073,R000073,Card,98.04,Success,5
P000074,R000074,Cash,116.52,Success,20
P000075,R000075,Card,85.36,Success,0
P000076,R000076,Card,74.8,Success,0
P000077,R000077,UPI,126.92,Success,0
P000078,R000078,Card,210.12,Success,5
P000079,R000079,Cash,54.76,Success,0
P000080,R000080,UPI,131.4,Success,20
P000081,R000081,Card,76.24,Failed,0
P000082,R000082,Card,62.02,Success,5
P000083,R000083,Card,63.28,Success,0
P000084,R000084,UPI,57.76,Success,0
P000085,R000085,Card,26.84,Success,0
P000086,R000086,UPI,65.76,Success,10
