ride_id,driver_id,customer_id,vehicle_id,start_time,end_time,distance_km,fare_amount,payment_id,rating,city
R000001,D0208,C00927,V0024,2025-04-16 11:09:00,2025-04-16 11:48:00,10.91,180.92,P000001,4.6,Hyderabad
R000002,D0151,C01575,V0270,2024-05-21 08:23:00,2024-05-21 08:32:00,1.9,40.2,P000002,4.2,Pune
R000003,D0076,C00974,V0230,2025-08-19 07:14:00,2025-08-19 07:40:00,4.91,98.92,P000003,4.5,Bangalore
R000004,D0079,C01219,V0087,2024-09-19 09:05:00,2024-09-19 09:31:00,4.74,96.88,P000004,4.6,Hyderabad
R000005,D0104,C00888,V0290,2025-08-07 12:36:00,2025-08-07 13:03:00,5.42,68.36,P000005,5.0,Ahmedabad
R000006,D0158,C01459,V0266,2024-08-10 23:04:00,2024-08-10 23:10:00,2.32,67.84,P000006,4.9,Chennai
R000007,D0270,C01579,V0127,2024-11-28 15:11:00,2024-11-28 15:24:00,3.71,84.52,P000007,4.3,Bangalore
R000008,D0258,C01539,V0078,2025-05-14 22:44:00,2025-05-14 23:06:00,3.99,43.94,P000008,4.7,Chennai
R000009,D0200,C00611,V0014,2025-08-13 03:38:00,2025-08-13 04:18:00,11.3,87.8,P000009,4.4,Bangalore
R000010,D0062,C00724,V0241,2024-11-03 01:46:00,2024-11-03 02:00:00,4.96,99.52,P000010,4.5,Hyderabad
R000011,D0065,C00273,V0025,2025-08-13 12:05:00,2025-08-13 12:38:00,7.34,84.04,P000011,3.9,Mumbai
R000012,D0083,C01841,V0149,2024-02-27 10:22:00,2024-02-27 10:41:00,3.6,83.2,P000012,4.5,Hyderabad
R000013,D0064,C00086,V0296,2025-03-20 13:59:00,2025-03-20 14:21:00,4.44,56.64,P000013,4.4,Chennai
R000014,D0014,C00201,V0071,2024-05-03 07:47:00,2024-05-03 07:52:00,2.28,67.36,P000014,4.2,Chennai
R000015,D0144,C01914,V0105,2024-01-12 20:49:00,2024-01-12 22:05:00,24.54,177.24,P000015,4.2,Bangalore
R000016,D0272,C00468,V0288,2025-01-26 01:19:00,2025-01-26 01:30:00,1.94,31.64,P000016,3.8,Hyderabad
R000017,D0249,C01057,V0290,2025-06-20 01:20:00,2025-06-20 01:34:00,1.54,37.32,P000017,3.8,Kolkata
R000018,D0228,C00090,V0124,2025-07-06 18:09:00,2025-07-06 18:26:00,2.57,70.84,P000018,4.6,Pune
R000019,D0205,C00712,V0166,2024-11-30 16:44:00,2024-11-30 17:13:00,7.37,128.44,P000019,4.4,Bangalore
R000020,D0216,C01367,V0188,2024-08-14 04:03:00,2024-08-14 04:44:00,9.28,99.24,P000020,4.5,Hyderabad
R000021,D0132,C00285,V0058,2025-02-06 14:48:00,2025-02-06 14:52:00,3.24,39.44,P000021,4.8,Chennai
R000022,D0129,C00487,V0300,2025-08-12 16:05:00,2025-08-12 16:22:00,2.05,64.6,P000022,5.0,Mumbai
R000023,D0109,C01108,V0152,2024-08-15 13:18:00,2024-08-15 13:33:00,4.4,80.2,P000023,4.5,Delhi
R000024,D0141,C01145,V0240,2025-02-07 04:08:00,2025-02-07 04:31:00,6.08,112.96,P000024,4.2,Ahmedabad
R000025,D0104,C00902,V0290,2024-12-10 02:30:00,2024-12-10 02:42:00,1.65,38.2,P000025,4.7,Ahmedabad
R000026,D0238,C01265,V0110,2025-08-08 23:03:00,2025-08-08 23:25:00,3.93,87.16,P000026,5.0,Kolkata
R000027,D0274,C01698,V0024,2025-07-15 12:16:00,2025-07-15 12:22:00,1.63,69.56,P000027,4.6,Kolkata
R000028,D0008,C01687,V0203,2024-03-28 12:32:00,2024-03-28 12:46:00,2.15,52.9,P000028,4.4,Chennai
R000029,D0299,C01183,V0280,2025-03-20 22:08:00,2025-03-20 22:21:00,0.74,58.88,P000029,4.5,Mumbai
R000030,D0126,C00320,V0290,2024-05-18 15:35:00,2024-05-18 15:50:00,1.14,34.12,P000030,4.6,Delhi
R000031,D0249,C01997,V0290,2024-07-21 15:25:00,2024-07-21 15:40:00,2.29,43.32,P000031,4.3,Kolkata
R000032,D0244,C00554,V0244,2025-08-08 06:35:00,2025-08-08 06:51:00,1.54,68.48,P000032,4.4,Bangalore
R000033,D0080,C00040,V0165,2025-06-20 07:15:00,2025-06-20 07:34:00,6.28,57.68,P000033,5.0,Kolkata
R000034,D0174,C01637,V0148,2024-03-14 08:49:00,2024-03-14 08:56:00,2.18,86.16,P000034,4.5,Hyderabad
R000035,D0044,C00770,V0170,2025-03-16 10:43:00,2025-03-16 10:55:00,1.39,28.34,P000035,5.0,Ahmedabad
R000036,D0152,C01539,V0015,2025-08-12 02:07:00,2025-08-12 02:19:00,4.1,57.8,P000036,4.1,Chennai
R000037,D0092,C01747,V0196,2025-02-27 13:23:00,2025-02-27 14:51:00,25.39,344.68,P000037,3.7,Bangalore
R000038,D0295,C01160,V0002,2024-12-22 06:20:00,2024-12-22 06:42:00,3.86,96.32,P000038,4.4,Kolkata
R000039,D0004,C00200,V0096,2024-12-18 19:41:00,2024-12-18 20:05:00,1.45,57.4,P000039,4.7,Pune
R000040,D0205,C01427,V0166,2024-01-25 09:10:00,2024-01-25 09:34:00,5.78,109.36,P000040,4.8,Bangalore
R000041,D0217,C00091,V0289,2024-12-24 19:52:00,2024-12-24 20:05:00,3.31,79.72,P000041,5.0,Kolkata
R000042,D0126,C00204,V0290,2025-03-28 19:09:00,2025-03-28 19:33:00,5.21,66.68,P000042,4.6,Delhi
R000043,D0026,C01078,V0066,2025-03-27 01:59:00,2025-03-27 02:18:00,4.53,47.18,P000043,4.3,Hyderabad
R000044,D0207,C00591,V0110,2024-08-27 06:43:00,2024-08-27 06:54:00,1.73,70.76,P000044,4.5,Pune
R000045,D0168,C01944,V0007,2025-01-17 04:48:00,2025-01-17 05:08:00,4.5,47.0,P000045,4.6,Ahmedabad
R000046,D0039,C01910,V0072,2024-03-28 03:47:00,2024-03-28 04:35:00,9.24,75.44,P000046,4.8,Delhi
R000047,D0028,C01893,V0240,2024-02-25 07:39:00,2024-02-25 07:57:00,0.74,58.88,P000047,4.9,Bangalore
R000048,D0017,C00337,V0170,2024-05-31 09:00:00,2024-05-31 09:18:00,3.82,42.92,P000048,4.2,Mumbai
R000049,D0125,C01485,V0055,2024-12-17 22:51:00,2024-12-17 23:03:00,3.43,81.16,P000049,4.4,Delhi
R000050,D0285,C00654,V0054,2024-04-23 09:28:00,2024-04-23 10:01:00,7.64,141.68,P000050,4.7,Chennai
R000051,D0017,C01262,V0170,2025-04-27 00:21:00,2025-04-27 00:38:00,1.79,40.74,P000051,4.7,Mumbai
R000052,D0251,C00415,V0041,2024-08-02 23:34:00,2024-08-03 00:15:00,10.21,162.52,P000052,4.6,Pune
R000053,D0260,C00785,V0070,2024-08-04 06:34:00,2024-08-04 07:02:00,4.2,45.2,P000053,4.5,Chennai
