vehicle_id,model,brand,type,battery_capacity_kWh,range_km,purchase_year
V0001,Tata Nano EV,Tata,Auto,9.2,118,2022
V0002,Hyundai Kona,Hyundai,Sedan,40.5,504,2023
V0003,Ather 450X,Ather,Bike,2.9,73,2023
V0004,Tata Nano EV,Tata,Auto,9.7,127,2022
V0005,Tata Nexon EV,Tata,SUV,29.5,325,2022
V0006,Mahindra Treo,Mahindra,Auto,5.9,96,2022
V0007,Ather 450X,Ather,Bike,2.9,63,2023
V0008,Mahindra Treo,Mahindra,Auto,5.5,95,2023
V0009,Tata Nexon EV,Tata,SUV,28.7,319,2023
V0010,BYD e6,BYD,Sedan,68.4,461,2024
V0011,Mahindra Treo,Mahindra,Auto,6.4,98,2023
V0012,Tata Nexon EV,Tata,SUV,30.3,276,2024
V0013,Hyundai Kona,Hyundai,Sedan,38.1,453,2023
V0014,Ather 450X,Ather,Bike,2.7,77,2024
V0015,Tata Nano EV,Tata,Auto,8.7,117,2022
V0016,Tata Nexon EV,Tata,SUV,29.3,358,2022
V0017,MG ZS EV,MG,Sedan,44.5,384,2024
V0018,Hyundai Kona,Hyundai,Sedan,40.8,406,2022
V0019,BYD e6,BYD,Sedan,72.4,438,2022
V0020,Tata Nexon EV,Tata,SUV,28.2,316,2022
V0021,Hyundai Kona,Hyundai,Sedan,40.6,456,2024
V0022,Ather 450X,Ather,Bike,2.9,73,2022
V0023,Mahindra Treo,Mahindra,Auto,5.6,94,2023
V0024,Hyundai Kona,Hyundai,Sedan,38.3,488,2022
V0025,Ather 450X,Ather,Bike,2.9,64,2022
V0026,Tata Nexon EV,Tata,SUV,30.7,302,2024
V0027,BYD e6,BYD,Sedan,69.3,545,2024
V0028,Ola S1 Pro,Ola,Bike,3.0,96,2024
V0029,MG ZS EV,MG,Sedan,42.6,409,2023
V0030,Hyundai Kona,Hyundai,Sedan,39.8,485,2022
V0031,Ola S1 Pro,Ola,Bike,2.8,88,2023
V0032,Ola S1 Pro,Ola,Bike,2.7,81,2025
V0033,Tata Nexon EV,Tata,SUV,31.4,345,2024
V0034,Ather 450X,Ather,Bike,2.9,81,2024
V0035,Mahindra Treo,Mahindra,Auto,6.1,94,2023
V0036,Mahindra Treo,Mahindra,Auto,6.1,112,2024
V0037,Tata Nexon EV,Tata,SUV,30.1,351,2024
V0038,Tata Nano EV,Tata,Auto,7.8,127,2023
V0039,MG ZS EV,MG,Sedan,44.7,409,2023
V0040,BYD e6,BYD,Sedan,72.0,437,2025
V0041,BYD e6,BYD,Sedan,70.9,534,2023
V0042,Hyundai Kona,Hyundai,Sedan,42.1,431,2023
V0043,Ather 450X,Ather,Bike,2.8,71,2024
V0044,Tata Nexon EV,Tata,SUV,31.6,320,2025
V0045,MG ZS EV,MG,Sedan,43.3,437,2023
V0046,Ola S1 Pro,Ola,Bike,2.9,96,2025
V0047,Tata Nano EV,Tata,Auto,8.7,116,2022
V0048,Tata Nano EV,Tata,Auto,8.8,105,2023
V0049,Ola S1 Pro,Ola,Bike,2.9,91,2025
V0050,Tata Nano EV,Tata,Auto,9.0,117,2025
V0051,Tata Nexon EV,Tata,SUV,28.1,301,2025
V0052,Hyundai Kona,Hyundai,Sedan,38.5,421,2022
V0053,Tata Nano EV,Tata,Auto,8.9,123,2024
V0054,MG ZS EV,MG,Sedan,48.7,425,2022
